ticket_id,created_at,priority,customer_tier,channel,product_area,region,reporter_history_count,queue_depth_at_creation,is_reopen,description_length,business_hours_flag,resolved_at,time_to_resolution,closed_status,agent_notes_final,breached_sla
T000029,2025-03-01T09:06:00,medium,standard,chat,auth,latam,5,14,0,291,0,2025-03-01T13:49:00,283,within_sla,resolved on time,0
T000030,2025-02-08T06:18:00,medium,enterprise,phone,ui,latam,4,34,0,394,0,2025-02-08T16:06:00,588,breached_resolved,escalated; SLA missed,1
T000031,2025-04-23T17:35:00,medium,standard,phone,auth,emea,9,34,0,62,1,2025-04-23T18:55:00,80,within_sla,resolved on time,0
T000032,2025-05-11T18:30:00,high,business,portal,auth,emea,7,28,0,227,0,2025-05-12T07:08:00,758,breached_resolved,escalated; SLA missed,1
T000033,2025-03-26T13:38:00,low,standard,email,ui,emea,10,4,0,20,1,2025-03-26T14:33:00,55,within_sla,resolved on time,0
T000034,2025-04-02T21:24:00,medium,enterprise,portal,auth,latam,0,39,0,184,0,2025-04-03T20:56:00,1412,breached_resolved,escalated; SLA missed,1
T000035,2025-02-22T00:21:00,low,standard,phone,data,na,10,39,0,208,0,2025-02-22T02:49:00,148,within_sla,resolved on time,0
T000036,2025-02-07T15:40:00,high,business,email,data,latam,0,36,0,25,1,2025-02-07T20:40:00,300,within_sla,resolved on time,0
T000037,2025-05-26T14:40:00,medium,standard,portal,auth,apac,6,31,0,167,1,2025-05-27T01:04:00,624,breached_open,escalated; SLA missed,1
T000038,2025-04-08T05:37:00,low,business,email,billing,latam,12,45,1,159,0,2025-04-08T22:59:00,1042,breached_open,escalated; SLA missed,1
T000039,2025-03-18T17:50:00,low,standard,portal,billing,na,13,29,0,253,1,2025-03-18T18:41:00,51,within_sla,resolved on time,0
T000040,2025-01-04T17:02:00,medium,standard,chat,ui,na,4,25,0,227,0,2025-01-04T19:07:00,125,within_sla,resolved on time,0
T000041,2025-05-30T03:34:00,low,standard,email,data,na,15,19,0,20,0,2025-05-30T09:05:00,331,within_sla,resolved on time,0
T000042,2025-02-14T05:01:00,low,standard,email,data,na,4,45,0,110,0,2025-02-14T07:57:00,176,within_sla,resolved on time,0
T000043,2025-06-24T21:44:00,medium,business,chat,ui,emea,6,0,0,273,0,2025-06-24T22:59:00,75,within_sla,resolved on time,0
T000044,2025-02-18T20:38:00,medium,standard,email,api,latam,8,50,0,199,0,2025-02-18T23:52:00,194,within_sla,resolved on time,0
T000045,2025-05-26T05:46:00,low,standard,phone,data,na,4,28,0,92,0,2025-05-26T09:49:00,243,within_sla,resolved on time,0
T000046,2025-03-23T14:06:00,high,standard,phone,auth,latam,6,15,0,74,0,2025-03-23T17:24:00,198,within_sla,resolved on time,0
T000047,2025-05-08T22:49:00,medium,standard,phone,auth,na,7,14,0,395,0,2025-05-09T11:29:00,760,breached_open,escalated; SLA missed,1
T000048,2025-05-19T09:23:00,medium,standard,email,auth,apac,8,41,1,126,1,2025-05-19T12:07:00,164,within_sla,resolved on time,0
T000049,2025-01-23T23:43:00,medium,business,email,billing,apac,1,33,0,490,0,2025-01-24T18:29:00,1126,breached_resolved,escalated; SLA missed,1
T000050,2025-04-25T14:05:00,medium,standard,chat,data,apac,11,36,0,80,1,2025-04-25T18:05:00,240,within_sla,resolved on time,0
T000051,2025-06-15T09:18:00,medium,enterprise,portal,api,na,0,11,0,241,0,2025-06-15T13:17:00,239,within_sla,resolved on time,0
T000052,2025-01-14T15:57:00,low,business,portal,mobile,latam,6,42,0,181,1,2025-01-14T17:22:00,85,within_sla,resolved on time,0
T000053,2025-04-24T18:55:00,medium,standard,portal,billing,emea,0,0,0,285,0,2025-04-24T22:18:00,203,within_sla,resolved on time,0
T000054,2025-02-22T12:57:00,medium,business,phone,mobile,latam,14,22,0,249,0,2025-02-22T16:09:00,192,within_sla,resolved on time,0
T000055,2025-01-17T15:00:00,low,enterprise,email,mobile,apac,0,15,0,91,1,2025-01-17T17:48:00,168,within_sla,resolved on time,0
T000056,2025-05-29T05:29:00,medium,standard,portal,api,latam,3,53,0,131,0,2025-05-30T03:13:00,1304,breached_open,escalated; SLA missed,1
T000057,2025-03-24T19:09:00,low,standard,phone,billing,latam,15,4,1,311,0,2025-03-25T06:04:00,655,breached_open,escalated; SLA missed,1
T000058,2025-03-22T11:18:00,high,standard,phone,data,emea,13,21,0,453,0,2025-03-22T17:05:00,347,within_sla,resolved on time,0
T000059,2025-04-11T06:39:00,low,business,email,auth,na,5,32,0,29,0,2025-04-11T09:40:00,181,within_sla,resolved on time,0
T000060,2025-06-28T10:45:00,medium,business,chat,ui,emea,14,19,0,283,0,2025-06-28T12:50:00,125,within_sla,resolved on time,0
T000061,2025-04-03T10:20:00,low,standard,phone,mobile,apac,12,9,0,306,1,2025-04-03T12:06:00,106,within_sla,resolved on time,0
T000062,2025-03-10T16:03:00,medium,standard,chat,mobile,emea,4,24,0,410,1,2025-03-10T19:43:00,220,within_sla,resolved on time,0
T000063,2025-05-01T19:42:00,high,standard,portal,billing,emea,0,29,0,310,0,2025-05-01T21:33:00,111,within_sla,resolved on time,0
T000064,2025-03-16T15:13:00,high,standard,email,ui,apac,3,53,0,360,0,2025-03-16T15:51:00,38,within_sla,resolved on time,0
T000065,2025-05-11T20:07:00,high,business,email,data,na,8,57,0,227,0,2025-05-11T23:45:00,218,within_sla,resolved on time,0
T000066,2025-01-19T07:07:00,medium,standard,email,billing,apac,9,15,0,310,0,2025-01-19T11:34:00,267,within_sla,resolved on time,0
T000067,2025-01-15T09:01:00,medium,business,chat,ui,emea,8,55,0,91,1,2025-01-15T09:14:00,13,within_sla,resolved on time,0
T000068,2025-01-14T10:42:00,medium,standard,phone,mobile,latam,5,11,0,455,1,2025-01-15T01:39:00,897,breached_open,escalated; SLA missed,1
T000069,2025-05-08T07:11:00,low,business,phone,billing,na,16,14,0,390,0,2025-05-08T17:13:00,602,breached_open,escalated; SLA missed,1
T000070,2025-02-15T15:00:00,medium,standard,email,mobile,na,5,48,0,214,0,2025-02-16T03:50:00,770,breached_open,escalated; SLA missed,1
T000071,2025-04-09T04:42:00,high,standard,phone,auth,apac,20,7,0,152,0,2025-04-09T10:36:00,354,within_sla,resolved on time,0
T000072,2025-05-18T06:56:00,urgent,business,phone,billing,latam,15,31,0,136,0,2025-05-18T15:19:00,503,breached_open,escalated; SLA missed,1
T000073,2025-01-05T13:20:00,medium,enterprise,phone,data,emea,2,9,0,167,0,2025-01-05T21:26:00,486,breached_resolved,escalated; SLA missed,1
T000074,2025-03-31T16:18:00,low,standard,chat,ui,latam,0,61,0,65,1,2025-03-31T18:48:00,150,within_sla,resolved on time,0
T000075,2025-06-01T18:27:00,medium,business,phone,billing,apac,9,49,0,20,0,2025-06-02T00:39:00,372,within_sla,resolved on time,0
T000076,2025-01-12T00:32:00,medium,standard,email,ui,na,3,7,0,429,0,2025-01-12T16:42:00,970,breached_resolved,escalated; SLA missed,1
T000077,2025-06-01T01:31:00,high,standard,chat,auth,apac,9,0,0,161,0,2025-06-01T08:46:00,435,within_sla,resolved on time,0
T000078,2025-01-21T00:16:00,medium,standard,chat,billing,apac,9,17,0,238,0,2025-01-21T03:42:00,206,within_sla,resolved on time,0
T000079,2025-03-28T16:45:00,medium,standard,email,ui,emea,9,28,0,317,1,2025-03-28T18:23:00,98,within_sla,resolved on time,0
T000080,2025-03-29T04:42:00,high,business,email,ui,latam,10,33,0,308,0,2025-03-29T08:10:00,208,within_sla,resolved on time,0
T000081,2025-04-19T18:02:00,medium,business,portal,billing,na,13,9,0,204,0,2025-04-19T20:00:00,118,within_sla,resolved on time,0
T000082,2025-03-24T13:22:00,medium,standard,phone,ui,apac,5,14,0,259,1,2025-03-24T16:06:00,164,within_sla,resolved on time,0
T000083,2025-05-15T11:50:00,medium,,email,data,apac,5,13,0,337,1,2025-05-15T14:15:00,145,within_sla,resolved on time,0
T000084,2025-02-26T21:06:00,medium,enterprise,chat,auth,latam,8,38,0,82,0,2025-02-27T01:58:00,292,within_sla,resolved on time,0
T000085,2025-06-27T09:51:00,high,enterprise,email,data,apac,12,32,0,318,1,2025-06-27T22:38:00,767,breached_resolved,escalated; SLA missed,1
T000086,2025-01-26T19:51:00,high,standard,email,mobile,emea,3,43,0,179,0,2025-01-27T00:04:00,253,within_sla,resolved on time,0
T000087,2025-01-29T07:44:00,low,enterprise,email,mobile,na,6,56,0,130,0,2025-01-29T11:09:00,205,within_sla,resolved on time,0
T000088,2025-02-21T13:31:00,medium,enterprise,portal,data,apac,13,35,0,321,1,2025-02-22T04:43:00,912,breached_resolved,escalated; SLA missed,1
T000089,2025-01-22T20:13:00,low,business,chat,auth,latam,3,27,0,164,0,2025-01-22T21:59:00,106,within_sla,resolved on time,0
T000090,2025-03-25T16:41:00,high,standard,portal,data,latam,6,11,0,325,1,2025-03-25T19:51:00,190,within_sla,resolved on time,0
T000091,2025-06-17T10:32:00,medium,business,email,auth,latam,1,18,0,179,1,2025-06-17T14:48:00,256,within_sla,resolved on time,0
T000092,2025-01-21T18:11:00,medium,standard,phone,api,emea,8,40,0,57,0,2025-01-21T19:39:00,88,within_sla,resolved on time,0
T000093,2025-03-31T22:49:00,medium,enterprise,portal,mobile,apac,13,10,0,337,0,2025-04-01T16:03:00,1034,breached_open,escalated; SLA missed,1
T000094,2025-01-14T12:08:00,medium,business,email,billing,apac,9,23,0,321,1,2025-01-14T13:29:00,81,within_sla,resolved on time,0
T000095,2025-05-25T03:30:00,high,standard,portal,data,emea,5,48,0,271,0,2025-05-25T06:45:00,195,within_sla,resolved on time,0
T000096,2025-04-02T20:24:00,medium,standard,chat,mobile,latam,15,28,0,43,0,2025-04-03T01:55:00,331,within_sla,resolved on time,0
T000097,2025-01-10T12:47:00,high,standard,email,api,na,2,23,0,404,1,2025-01-10T12:52:00,5,within_sla,resolved on time,0
T000098,2025-05-01T19:21:00,low,standard,phone,mobile,latam,14,50,0,59,0,2025-05-01T21:34:00,133,within_sla,resolved on time,0
T000099,2025-06-22T09:58:00,high,enterprise,email,mobile,latam,6,29,0,324,0,2025-06-22T12:33:00,155,within_sla,resolved on time,0
T000100,2025-01-29T04:57:00,low,standard,email,mobile,apac,13,12,0,262,0,2025-01-29T08:43:00,226,within_sla,resolved on time,0
T000101,2025-05-12T06:53:00,medium,business,phone,mobile,emea,16,25,0,238,0,2025-05-12T18:18:00,685,breached_open,escalated; SLA missed,1
T000102,2025-05-04T11:34:00,urgent,,portal,api,latam,1,29,0,270,0,2025-05-04T16:30:00,296,within_sla,resolved on time,0
T000103,2025-03-09T13:51:00,medium,standard,email,api,na,8,15,0,297,0,2025-03-09T18:08:00,257,within_sla,resolved on time,0
T000104,2025-03-05T15:21:00,urgent,business,email,ui,apac,9,87,0,493,1,2025-03-05T18:57:00,216,within_sla,resolved on time,0
T000105,2025-01-26T01:10:00,low,business,chat,mobile,latam,7,30,0,211,0,2025-01-26T07:00:00,350,within_sla,resolved on time,0
T000106,2025-01-21T05:46:00,high,standard,phone,billing,na,8,55,0,430,0,2025-01-22T00:25:00,1119,breached_resolved,escalated; SLA missed,1
T000107,2025-05-11T19:22:00,low,business,email,data,apac,8,48,0,499,0,2025-05-12T17:18:00,1316,breached_resolved,escalated; SLA missed,1
T000108,2025-04-26T17:17:00,medium,standard,phone,mobile,na,6,35,0,189,0,2025-04-26T19:41:00,144,within_sla,resolved on time,0
T000109,2025-03-06T03:13:00,medium,standard,portal,mobile,latam,0,5,1,241,0,2025-03-06T12:45:00,572,breached_resolved,escalated; SLA missed,1
T000110,2025-02-27T10:51:00,urgent,enterprise,portal,data,latam,7,60,0,89,1,2025-02-27T15:53:00,302,within_sla,resolved on time,0
T000111,2025-03-08T23:54:00,medium,business,portal,ui,apac,14,26,0,349,0,2025-03-09T02:04:00,130,within_sla,resolved on time,0
T000112,2025-04-20T16:09:00,urgent,standard,phone,api,na,15,42,0,118,0,2025-04-20T18:11:00,122,within_sla,resolved on time,0
T000113,2025-06-08T09:15:00,high,enterprise,portal,api,na,15,41,0,277,0,2025-06-08T10:06:00,51,within_sla,resolved on time,0
T000114,2025-05-23T05:36:00,medium,standard,email,auth,apac,0,63,1,294,0,2025-05-24T01:05:00,1169,breached_open,escalated; SLA missed,1
T000115,2025-04-07T09:14:00,medium,standard,phone,auth,na,11,31,0,271,1,2025-04-07T11:50:00,156,within_sla,resolved on time,0
T000116,2025-04-22T09:19:00,low,business,chat,billing,emea,11,14,0,171,1,2025-04-22T12:32:00,193,within_sla,resolved on time,0
T000117,2025-03-05T05:55:00,high,enterprise,phone,api,emea,4,0,0,258,0,2025-03-05T15:10:00,555,breached_resolved,escalated; SLA missed,1
T000118,2025-03-31T22:24:00,low,enterprise,phone,ui,emea,6,25,0,411,0,2025-04-01T01:23:00,179,within_sla,resolved on time,0
T000119,2025-01-14T10:13:00,low,standard,email,ui,latam,5,15,0,252,1,2025-01-14T11:06:00,53,within_sla,resolved on time,0
T000120,2025-06-15T18:57:00,high,standard,chat,api,emea,15,65,0,357,0,2025-06-16T07:59:00,782,breached_resolved,escalated; SLA missed,1
T000121,2025-04-11T06:39:00,low,standard,email,data,emea,1,17,0,36,0,2025-04-11T07:22:00,43,within_sla,resolved on time,0
T000122,2025-06-07T05:55:00,low,standard,phone,mobile,emea,8,11,0,51,0,2025-06-07T08:56:00,181,within_sla,resolved on time,0
T000123,2025-05-27T11:44:00,high,business,phone,ui,na,6,20,0,113,1,2025-05-28T03:44:00,960,breached_open,escalated; SLA missed,1
T000124,2025-06-27T13:28:00,medium,standard,email,api,emea,3,32,0,301,1,2025-06-27T17:10:00,222,within_sla,resolved on time,0
T000125,2025-06-07T12:35:00,high,standard,phone,auth,emea,0,30,0,210,0,2025-06-07T15:53:00,198,within_sla,resolved on time,0
T000126,2025-02-09T03:58:00,medium,standard,email,api,latam,0,10,0,216,0,2025-02-09T19:35:00,937,breached_resolved,escalated; SLA missed,1
T000127,2025-05-20T01:20:00,medium,standard,portal,billing,emea,4,41,0,75,0,2025-05-20T04:54:00,214,within_sla,resolved on time,0
T000128,2025-01-24T10:08:00,urgent,business,phone,api,apac,8,18,0,183,1,2025-01-25T01:07:00,899,breached_open,escalated; SLA missed,1
T000129,2025-01-28T02:43:00,medium,enterprise,chat,api,apac,17,76,0,186,0,2025-01-28T07:00:00,257,within_sla,resolved on time,0
T000130,2025-02-24T13:48:00,medium,standard,phone,api,na,15,26,0,191,1,2025-02-24T21:15:00,447,breached_open,escalated; SLA missed,1
T000131,2025-06-26T22:58:00,high,,chat,mobile,na,4,24,0,51,0,2025-06-27T07:24:00,506,breached_resolved,escalated; SLA missed,1
T000132,2025-01-21T00:08:00,low,business,phone,ui,emea,4,36,0,116,0,2025-01-21T02:02:00,114,within_sla,resolved on time,0
T000133,2025-04-05T10:09:00,low,standard,portal,data,latam,6,40,0,158,0,2025-04-05T14:19:00,250,within_sla,resolved on time,0
T000134,2025-05-07T05:07:00,low,business,chat,auth,apac,3,25,0,190,0,2025-05-08T00:03:00,1136,breached_open,escalated; SLA missed,1
T000135,2025-06-19T23:23:00,urgent,standard,phone,billing,latam,12,19,0,229,0,2025-06-20T11:35:00,732,breached_resolved,escalated; SLA missed,1
T000136,2025-02-16T16:25:00,high,standard,chat,data,apac,16,18,0,100,0,2025-02-17T02:59:00,634,breached_resolved,escalated; SLA missed,1
T000137,2025-03-17T05:44:00,medium,business,email,mobile,emea,15,30,0,20,0,2025-03-17T10:40:00,296,within_sla,resolved on time,0
T000138,2025-06-25T11:24:00,low,standard,email,billing,emea,0,23,0,283,1,2025-06-25T13:55:00,151,within_sla,resolved on time,0
T000139,2025-06-02T05:25:00,medium,business,chat,mobile,apac,8,28,0,487,0,2025-06-03T05:19:00,1434,breached_open,escalated; SLA missed,1
T000140,2025-04-02T18:56:00,medium,standard,email,api,emea,6,4,0,328,0,2025-04-03T10:20:00,924,breached_resolved,escalated; SLA missed,1
T000141,2025-06-13T07:14:00,medium,business,phone,billing,latam,6,19,0,179,0,2025-06-14T01:36:00,1102,breached_resolved,escalated; SLA missed,1
T000142,2025-03-02T00:09:00,low,enterprise,email,api,apac,7,23,0,177,0,2025-03-02T04:34:00,265,within_sla,resolved on time,0
T000143,2025-02-26T14:41:00,medium,standard,phone,data,emea,8,39,0,217,1,2025-02-26T15:38:00,57,within_sla,resolved on time,0
T000144,2025-04-08T20:27:00,high,standard,chat,mobile,na,0,26,0,270,0,2025-04-08T23:05:00,158,within_sla,resolved on time,0
T000145,2025-04-08T16:42:00,low,standard,portal,billing,emea,6,9,0,181,1,2025-04-08T19:52:00,190,within_sla,resolved on time,0
T000146,2025-04-12T17:25:00,medium,standard,email,ui,apac,12,2,0,325,0,2025-04-13T09:42:00,977,breached_resolved,escalated; SLA missed,1
T000147,2025-06-19T23:43:00,medium,standard,portal,auth,emea,9,0,0,20,0,2025-06-20T04:58:00,315,within_sla,resolved on time,0
T000148,2025-03-10T09:13:00,low,enterprise,chat,mobile,apac,21,68,0,451,1,2025-03-10T15:12:00,359,within_sla,resolved on time,0
T000149,2025-03-26T06:53:00,medium,enterprise,portal,data,latam,10,17,0,174,0,2025-03-26T13:22:00,389,within_sla,resolved on time,0
T000150,2025-03-18T07:41:00,medium,standard,chat,auth,na,9,32,0,209,0,2025-03-18T10:13:00,152,within_sla,resolved on time,0
T000151,2025-02-09T13:15:00,high,standard,chat,data,apac,9,69,0,37,0,2025-02-09T15:02:00,107,within_sla,resolved on time,0
T000152,2025-06-29T10:34:00,medium,,portal,api,apac,21,46,0,362,0,2025-06-29T21:52:00,678,breached_open,escalated; SLA missed,1
T000153,2025-04-28T02:41:00,medium,enterprise,phone,mobile,latam,3,38,0,133,0,2025-04-28T16:48:00,847,breached_resolved,escalated; SLA missed,1
T000154,2025-04-13T09:06:00,medium,business,chat,ui,emea,7,46,0,110,0,2025-04-13T12:32:00,206,within_sla,resolved on time,0
T000155,2025-03-10T15:52:00,medium,enterprise,email,billing,emea,10,7,0,236,1,2025-03-10T19:52:00,240,within_sla,resolved on time,0
T000156,2025-02-08T13:24:00,urgent,standard,portal,auth,emea,4,38,0,192,0,2025-02-09T09:52:00,1228,breached_open,escalated; SLA missed,1
T000157,2025-04-01T12:38:00,medium,business,phone,auth,apac,7,35,0,218,1,2025-04-01T15:21:00,163,within_sla,resolved on time,0
T000158,2025-02-23T17:42:00,low,standard,chat,ui,emea,0,30,0,209,0,2025-02-23T23:28:00,346,within_sla,resolved on time,0
T000159,2025-01-31T15:01:00,high,standard,chat,auth,latam,13,64,0,360,1,2025-01-31T17:31:00,150,within_sla,resolved on time,0
T000160,2025-01-09T19:57:00,high,business,chat,mobile,emea,11,34,0,179,0,2025-01-09T23:05:00,188,within_sla,resolved on time,0
T000161,2025-05-01T00:27:00,medium,standard,portal,billing,na,3,27,0,438,0,2025-05-01T03:44:00,197,within_sla,resolved on time,0
T000162,2025-01-20T11:33:00,high,enterprise,chat,auth,emea,4,20,0,233,1,2025-01-20T13:57:00,144,within_sla,resolved on time,0
T000163,2025-05-07T22:16:00,low,standard,email,billing,latam,2,45,1,293,0,2025-05-08T01:19:00,183,within_sla,resolved on time,0
T000164,2025-04-14T00:15:00,urgent,standard,email,auth,emea,15,13,0,183,0,2025-04-14T06:37:00,382,within_sla,resolved on time,0
T000165,2025-04-30T19:19:00,low,standard,email,auth,emea,8,1,0,283,0,2025-04-30T22:43:00,204,within_sla,resolved on time,0
T000166,2025-06-13T04:58:00,medium,business,chat,mobile,na,0,29,1,20,0,2025-06-13T23:38:00,1120,breached_open,escalated; SLA missed,1
T000167,2025-04-26T10:31:00,low,business,portal,auth,apac,2,24,0,119,0,2025-04-26T12:45:00,134,within_sla,resolved on time,0
T000168,2025-01-14T09:09:00,low,standard,portal,mobile,emea,7,14,0,322,1,2025-01-14T12:11:00,182,within_sla,resolved on time,0
T000169,2025-02-04T02:43:00,medium,enterprise,portal,billing,na,14,42,0,271,0,2025-02-04T07:58:00,315,breached_open,escalated; SLA missed,1
T000170,2025-06-14T01:07:00,medium,standard,chat,mobile,latam,10,42,0,264,0,2025-06-14T18:31:00,1044,breached_open,escalated; SLA missed,1
T000171,2025-02-15T19:41:00,urgent,business,chat,ui,na,8,31,0,283,0,2025-02-15T21:27:00,106,within_sla,resolved on time,0
T000172,2025-05-30T22:04:00,high,enterprise,chat,api,apac,0,13,0,273,0,2025-05-31T17:35:00,1171,breached_open,escalated; SLA missed,1
T000173,2025-03-01T07:49:00,medium,business,phone,billing,emea,1,17,0,20,0,2025-03-01T09:40:00,111,within_sla,resolved on time,0
T000174,2025-02-23T00:50:00,high,standard,portal,mobile,latam,11,41,0,291,0,2025-02-23T20:09:00,1159,breached_open,escalated; SLA missed,1
T000175,2025-03-14T23:08:00,medium,business,email,api,na,11,38,0,302,0,2025-03-15T03:55:00,287,within_sla,resolved on time,0
T000176,2025-06-26T00:03:00,high,business,email,billing,na,7,51,0,82,0,2025-06-26T11:52:00,709,breached_open,escalated; SLA missed,1
T000177,2025-05-06T16:33:00,medium,standard,email,ui,na,4,68,0,314,1,2025-05-06T17:25:00,52,within_sla,resolved on time,0
T000178,2025-04-05T20:47:00,medium,business,email,ui,latam,5,43,0,395,0,2025-04-06T01:42:00,295,within_sla,resolved on time,0
T000179,2025-06-29T02:43:00,high,enterprise,chat,data,emea,4,46,0,270,0,2025-06-29T10:58:00,495,breached_open,escalated; SLA missed,1
T000180,2025-06-10T18:18:00,low,enterprise,portal,ui,na,6,18,0,235,0,2025-06-11T07:37:00,799,breached_resolved,escalated; SLA missed,1
T000181,2025-01-21T17:52:00,low,business,phone,data,latam,1,14,0,313,1,2025-01-21T19:09:00,77,within_sla,resolved on time,0
T000182,2025-04-22T20:43:00,medium,standard,phone,billing,emea,6,40,0,95,0,2025-04-23T11:21:00,878,breached_open,escalated; SLA missed,1
T000183,2025-04-08T19:50:00,high,standard,chat,ui,apac,11,42,0,326,0,2025-04-09T12:23:00,993,breached_resolved,escalated; SLA missed,1
T000184,2025-04-13T05:35:00,medium,business,portal,mobile,latam,0,47,0,246,0,2025-04-13T08:46:00,191,within_sla,resolved on time,0
T000185,2025-04-08T20:50:00,low,business,portal,data,na,3,23,0,369,0,2025-04-08T23:43:00,173,within_sla,resolved on time,0
T000186,2025-02-09T18:49:00,urgent,standard,chat,api,na,2,35,0,20,0,2025-02-09T23:36:00,287,within_sla,resolved on time,0
T000187,2025-04-18T00:40:00,medium,enterprise,portal,auth,emea,10,0,0,86,0,2025-04-18T02:52:00,132,within_sla,resolved on time,0
T000188,2025-02-23T06:32:00,low,standard,email,auth,latam,24,2,0,388,0,2025-02-24T04:42:00,1330,breached_open,escalated; SLA missed,1
T000189,2025-05-04T02:30:00,medium,standard,phone,mobile,latam,6,35,0,234,0,2025-05-04T03:59:00,89,within_sla,resolved on time,0
T000190,2025-03-24T18:35:00,urgent,standard,email,mobile,na,7,10,0,192,0,2025-03-24T22:00:00,205,within_sla,resolved on time,0
T000191,2025-02-08T13:35:00,medium,,phone,api,emea,1,21,0,204,0,2025-02-09T03:08:00,813,breached_open,escalated; SLA missed,1
T000192,2025-01-29T18:14:00,medium,standard,portal,auth,emea,11,19,0,257,0,2025-01-29T20:46:00,152,within_sla,resolved on time,0
T000193,2025-04-29T03:08:00,low,business,phone,mobile,emea,5,33,0,231,0,2025-04-29T06:43:00,215,within_sla,resolved on time,0
T000194,2025-01-02T11:13:00,high,standard,portal,mobile,emea,3,31,0,239,1,2025-01-02T13:33:00,140,within_sla,resolved on time,0
